,open,high,low,close,volume,close_change,return,close_executed,close_executed_differential,investment_value,investment_return_dollar,investment_return,consistency,return_rolling_sum,threshold_met
2024-01-02 09:00:00+00:00,354.1,354.21,354.1,354.21,423.0,,,0.0,0,1000,0,,,,False
2024-01-02 09:15:00+00:00,354.37863636363636,354.37863636363636,354.37863636363636,354.37863636363636,371.6363636363636,0.1686363636363808,0.0004760914814272432,0.0,0,1000,0,0.0,,,False
2024-01-02 09:30:00+00:00,354.74,354.74,354.74,354.74,118.0,0.36136363636364877,0.001019710556120712,354.74,0,1000,0,0.0,1.0,0.0014958020375479553,True
2024-01-02 09:45:00+00:00,354.5670588235294,354.7235294117647,354.5176470588235,354.7235294117647,1295.941176470588,-0.01647058823533598,-4.643002828930154e-05,0.0,0,999,0,-0.0010000000000000009,0.0,0.0009732805278314105,True
2024-01-02 10:00:00+00:00,354.4894736842105,354.4894736842105,354.4789473684211,354.4789473684211,433.6842105263158,-0.24458204334359834,-0.0006895004787226267,-354.4789473684211,0,999,0,0.0,-1.0,-0.0007359305070119282,True
2024-01-02 10:15:00+00:00,354.45,354.45,354.4,354.4,1085.0,-0.07894736842109751,-0.00022271384240779568,0.0,0,999,0,0.0,-1.0,-0.0009122143211304223,True
2024-01-02 10:30:00+00:00,354.3342857142857,354.3342857142857,354.3342857142857,354.3342857142857,146.28571428571428,-0.06571428571425031,-0.00018542405675581186,0.0,0,999,0,0.0,-1.0,-0.00040813789916360754,True
2024-01-02 10:45:00+00:00,354.2625,354.2625,354.2625,354.2625,293.75,-0.07178571428573832,-0.00020259319286874966,0.0,0,999,0,0.0,-1.0,-0.0003880172496245615,True
2024-01-02 11:00:00+00:00,353.81333333333333,353.81333333333333,353.78000000000003,353.78000000000003,501.0,-0.4824999999999591,-0.0013619844042199736,0.0,0,999,0,0.0,-1.0,-0.0015645775970887232,True
2024-01-02 11:15:00+00:00,352.515,352.515,352.515,352.515,146.0,-1.2650000000000432,-0.003575668494544715,0.0,0,999,0,0.0,-1.0,-0.004937652898764688,True
2024-01-02 11:30:00+00:00,351.7,351.7,351.7,351.7,901.0,-0.8149999999999977,-0.0023119583563819823,0.0,0,999,0,0.0,-1.0,-0.005887626850926697,True
2024-01-02 11:45:00+00:00,350.6333333333333,350.6333333333333,350.6333333333333,350.6333333333333,1001.8888888888889,-1.0666666666666629,-0.003032887877926216,0.0,0,999,0,0.0,-1.0,-0.005344846234308198,True
2024-01-02 12:00:00+00:00,351.0,351.49,351.0,351.49,2111.0,0.8566666666666833,0.0024431980226258254,0.0,0,999,0,0.0,0.0,-0.0005896898553003904,True
2024-01-02 12:15:00+00:00,350.98,350.98,350.98,350.98,309.0,-0.5099999999999909,-0.001450965888076472,0.0,0,999,0,0.0,0.0,0.0009922321345493534,True
2024-01-02 12:30:00+00:00,351.0128571428571,351.0128571428571,351.01142857142855,351.01142857142855,370.8571428571429,0.031428571428534724,8.954519183013154e-05,0.0,0,999,0,0.0,0.0,-0.0013614206962463404,True
2024-01-02 12:45:00+00:00,350.84,350.84,350.84,350.84,675.0,-0.17142857142857792,-0.0004883845865825132,0.0,0,999,0,0.0,0.0,-0.0003988393947523816,True
2024-01-02 13:00:00+00:00,351.0,351.64,350.2421,350.2421,11954.0,-0.5978999999999814,-0.0017041956447383377,0.0,0,999,0,0.0,-1.0,-0.002192580231320851,True
2024-01-02 13:15:00+00:00,350.41,350.5,350.41,350.42,1130.0,0.17790000000002237,0.0005079343688265681,0.0,0,999,0,0.0,0.0,-0.0011962612759117697,True
2024-01-02 13:30:00+00:00,350.0,350.0,350.0,350.0,2409.0,-0.4200000000000159,-0.001198561725928915,0.0,0,999,0,0.0,0.0,-0.0006906273571023469,True
2024-01-02 13:45:00+00:00,349.99,349.99,349.99,349.99,500.0,-0.009999999999990905,-2.8571428571377844e-05,0.0,0,999,0,0.0,-1.0,-0.0012271331545002928,True
2024-01-02 14:00:00+00:00,350.65,350.65,350.65,350.65,1010.0,0.6599999999999682,0.0018857681648045688,0.0,0,999,0,0.0,0.0,0.001857196736233191,True
2024-01-02 14:15:00+00:00,350.75866666666667,350.822,350.75866666666667,350.822,534.0,0.17200000000002547,0.0004905176101526187,350.822,0,999,0,0.0,1.0,0.0023762857749571875,True
2024-01-02 14:30:00+00:00,351.32,352.9288,351.13,352.78,319181.0,1.95799999999997,0.005581177919286695,0.0,0,1004,0,0.005005005005005003,1.0,0.006071695529439314,True
2024-01-02 14:45:00+00:00,346.99,347.05,345.7,345.98,96579.0,-6.7999999999999545,-0.019275469130902945,0.0,0,985,0,-0.018924302788844605,0.0,-0.01369429121161625,True
2024-01-02 15:00:00+00:00,344.4,345.48,344.23,345.285,111273.0,-0.6949999999999932,-0.0020087866350655403,-345.285,-5,983,-15,-0.0020304568527919065,-1.0,-0.021284255765968485,True
2024-01-02 15:15:00+00:00,344.23,344.23,343.65,343.7,56853.0,-1.5850000000000364,-0.004590410820047297,0.0,0,983,0,0.0,-1.0,-0.006599197455112837,True
2024-01-02 15:30:00+00:00,341.53,341.545,341.13,341.1789,67410.0,-2.52109999999999,-0.00733517602560374,0.0,0,983,0,0.0,-1.0,-0.011925586845651037,True
2024-01-02 15:45:00+00:00,342.1497,342.1899,341.765,341.7875,51250.0,0.608600000000024,0.0017838148842148627,0.0,0,983,0,0.0,0.0,-0.0055513611413888775,True
2024-01-02 16:00:00+00:00,340.68,341.35,340.6601,341.225,52169.0,-0.5625,-0.0016457594265443243,0.0,0,983,0,0.0,0.0,0.0001380554576705384,True
2024-01-02 16:15:00+00:00,343.03,343.14,342.86,342.87,31132.0,1.6449999999999818,0.004820865997508861,0.0,0,983,0,0.0,0.0,0.0031751065709645365,True
2024-01-02 16:30:00+00:00,344.08,344.5368,344.06,344.5045,39628.0,1.6345000000000027,0.004767112899932924,344.5045,0,983,0,0.0,1.0,0.009587978897441785,True
2024-01-02 16:45:00+00:00,345.06,345.47,344.92,345.47,34597.0,0.96550000000002,0.0028025758734646633,0.0,0,986,0,0.003051881993896277,1.0,0.007569688773397587,True
