,open,high,low,close,volume,close_change,return,previous_return,close_executed,close_executed_fixed,close_executed_differential,investment_value,investment_return_dollar,investment_return, investment_return_fixed ,crypto_fees,investment_return_adjusted
2024-01-01 03:15:00+00:00,42481.75,42490.39,42478.8105,42490.39,0,-72.34891667,-0.001699818,0.000667346,0,0,0,1002,0,0, -   , ,   
2024-01-01 03:30:00+00:00,42443.9,42443.9,42443.9,42443.9,0,-46.49,-0.00109413,-0.001699818,0,0,0,1002,0,0, -   , ,   
2024-01-01 03:45:00+00:00,42273.5,42273.5,42273.5,42273.5,0,-170.4,-0.004014711,-0.00109413,0,0,0,1002,0,0, -   , ,   
2024-01-01 04:00:00+00:00,42323.305,42323.305,42323.305,42323.305,0,49.80500000000029,0.001178161,-0.004014711,0,0,0,1002,0,0, -   , ,   
2024-01-01 04:15:00+00:00,42280.422,42287.60725,42280.422,42287.60725,0,-35.69775,-0.000843454,0.001178161,0,0,0,1002,0,0, -   , ,   
2024-01-01 04:30:00+00:00,42313.64613,42313.64613,42313.64613,42313.64613,0,26.03887499999837,0.000615757,-0.000843454,0,0,0,1002,0,0, -   , ,   
2024-01-01 04:45:00+00:00,42321.9185,42321.9185,42321.9185,42321.9185,0,8.272375000000466,0.000195501,0.000615757,42321.9185,42321.9185,0,1002,0,0, -   ,0.0015, (0.0015)
2024-01-01 05:00:00+00:00,42356.456,42360.414333333334,42356.456,42360.414333333334,0,38.49583333,0.000909596,0.000195501,0,0,0,1003,0,0.000998004, 0.00100 , ,   
2024-01-01 05:15:00+00:00,42334.65288,42334.65288,42334.65288,42334.65288,0,-25.76145833,-0.000608149,0.000909596,0,0,0,1002,0,-0.000997009, (0.00100), ,   
2024-01-01 05:30:00+00:00,42297.25,42300.26,42296.5,42300.26,0,-34.392875,-0.000812405,-0.000608149,-42300.26,-42300.26,-21,1001,0,-0.000998004, (0.00100),0.0025, (0.0035)
2024-01-01 05:45:00+00:00,42296.65,42296.65,42282.513999999996,42282.513999999996,1.5665333333333334e-05,-17.746,-0.000419525,-0.000812405,0,0,0,1001,0,0, -   , ,   
2024-01-01 06:00:00+00:00,42215.8125,42215.8125,42215.8125,42215.8125,0,-66.7015,-0.00157752,-0.000419525,0,0,0,1001,0,0, -   , ,   
2024-01-01 06:15:00+00:00,42286.44225,42286.44225,42286.44225,42286.44225,0,70.62975000000006,0.001673064,-0.00157752,0,0,0,1001,0,0, -   , ,   
2024-01-01 06:30:00+00:00,42326.2408,42326.2408,42326.2408,42326.2408,0,39.79854999999952,0.000941166,0.001673064,42326.2408,42326.2408,0,1001,0,0, -   ,0.0015, (0.0015)
2024-01-01 06:45:00+00:00,42393.35775,42398.8535,42388.147750000004,42398.8535,1.1749e-05,72.61269999999786,0.001715548,0.000941166,0,0,0,1003,0,0.001998002, 0.00200 , ,   
2024-01-01 07:00:00+00:00,42427.154,42427.154,42427.154,42427.154,0,28.30050000000483,0.000667483,0.001715548,0,0,0,1004,0,0.000997009, 0.00100 , ,   
2024-01-01 07:15:00+00:00,42446.058,42446.058,42446.058,42446.058,0,18.903999999994994,0.000445564,0.000667483,0,0,0,1004,0,0, -   , ,   
2024-01-01 07:30:00+00:00,42476.278333333335,42476.278333333335,42476.278333333335,42476.278333333335,0,30.220333333338203,0.00071197,0.000445564,0,0,0,1005,0,0.000996016, 0.00100 , ,   
2024-01-01 07:45:00+00:00,42442.595,42444.9,42442.595,42444.9,0,-31.37833333,-0.000738726,0.00071197,0,0,0,1004,0,-0.000995025, (0.00100), ,   
2024-01-01 08:00:00+00:00,42504.64675,42511.217749999996,42504.64675,42511.217749999996,0,66.31775,0.001562443,-0.000738726,0,0,0,1006,0,0.001992032, 0.00199 , ,   
2024-01-01 08:15:00+00:00,42515.585,42515.741,42515.585,42515.741,0,4.523250000005646,0.000106401,0.001562443,0,0,0,1006,0,0, -   , ,   
2024-01-01 08:30:00+00:00,42487.057,42508.635,42487.057,42508.635,0,-7.106,-0.000167138,0.000106401,0,0,0,1006,0,0, -   , ,   
2024-01-01 08:45:00+00:00,42508.763333333336,42525.556000000004,42494.6795,42521.0865,1.5665333333333334e-05,12.451499999995576,0.000292917,-0.000167138,0,0,0,1006,0,0, -   , ,   
2024-01-01 09:00:00+00:00,42559.21075,42559.21075,42559.21075,42559.21075,0,38.12425000000076,0.000896596,0.000292917,0,0,0,1007,0,0.000994036, 0.00099 , ,   
2024-01-01 09:15:00+00:00,42589.0065,42589.0065,42589.0065,42589.0065,0,29.795750000004773,0.000700101,0.000896596,0,0,0,1008,0,0.000993049, 0.00099 , ,   
2024-01-01 09:30:00+00:00,42610.221000000005,42610.221000000005,42610.221000000005,42610.221000000005,0,21.214500000001863,0.000498122,0.000700101,0,0,0,1008,0,0, -   , ,   
2024-01-01 09:45:00+00:00,42675.439999999995,42675.439999999995,42644.602,42657.097200000004,1.87984e-05,46.87619999999879,0.001100116,0.000498122,0,0,0,1009,0,0.000992063, 0.00099 , ,   
2024-01-01 10:00:00+00:00,42650.4035,42650.4035,42650.4035,42650.4035,0,-6.6937,-0.000156919,0.001100116,0,0,0,1009,0,0, -   , ,   
